,spotify_id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity
11,2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4,
12,7d6yK8v8J484SWH5prIQiE,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3,
13,6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4,
14,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4,
15,2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4,
16,63EQbNhgaih4yg5412usWG,Loco,Neton Vega,0.849,0.708,1,-5.502,1,0.0686,0.0741,0.00768,0.139,0.632,91.981,4,
17,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,
18,5WEF0icHWmAZBBMglBd599,WELTiTA,"Bad Bunny, Chuwi",0.458,0.297,4,-32.354,0,0.6,0.866,0.329,0.346,0.357,96.14,3,
19,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,
20,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,
21,3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3,
22,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,4,
23,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,4,
24,6s8WSX1MxNThrot8ThI6fG,4X4,Travis Scott,0.625,0.847,6,-2.95,0,0.0454,0.0392,0.000108,0.788,0.221,143.023,4,
25,0LTwdL5yZ6YOTEGUQPFuSN,ROSONES,Tito Double P,0.802,0.726,1,-5.939,1,0.0318,0.704,9.7e-06,0.117,0.604,120.129,3,
26,6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,3,
27,17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,
28,4MUrUT38U98olfnyzMBCzm,KLOuFRENS,Bad Bunny,0.326,0.125,1,-32.45,1,0.148,0.703,0.706,0.18,0.306,106.974,4,
29,3U3hFkMr0Q90pD24EkE3Pr,BMF,SZA,0.792,0.55,10,-8.528,0,0.0307,0.506,0.0166,0.087,0.972,128.023,4,
30,2zOmS55knKWSgScYPTNmGQ,Sports car,Tate McRae,0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4,
31,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,
32,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,
33,5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,
34,3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3,
35,0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,4,
36,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,
37,50zAEIE4B1QqhPjRMK2Xmh,Running Wild,Jin,0.487,0.711,8,-4.22,1,0.0322,0.000175,0.0,0.152,0.317,146.921,4,
38,0iKo4pNNjHHdKUcFARlfCa,EL CLúB,Bad Bunny,0.516,0.611,10,-5.486,0,0.0555,0.458,5.34e-05,0.113,0.261,110.744,4,
39,1Q9Efnm5csdCMFynISxL2x,PERFuMITO NUEVO,"Bad Bunny, RaiNao",0.513,0.0302,0,-33.8,1,0.0701,0.996,0.977,0.15,0.557,120.026,1,
40,1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",0.687,0.627,7,-4.975,1,0.181,0.326,0.0,0.0893,0.47,155.865,4,
41,47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,4,
42,4zbEItKoaRId1vRZkoO0Uh,Imagínate,"Danny Ocean, Kapo",0.779,0.737,11,-4.667,1,0.109,0.134,0.0,0.0974,0.445,101.923,4,
43,7sd6zMrgGpEa7NkQm9TRrg,NADIE,Tito Double P,0.702,0.843,7,-4.71,1,0.114,0.465,0.0,0.12,0.526,92.604,4,
44,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,4,
45,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4,
46,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4,
47,19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,0.74,0.643,10,-5.446,1,0.0413,0.041,0.00229,0.0407,0.96,117.025,4,
48,2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,0.675,0.586,9,-6.086,1,0.0531,0.257,0.0,0.104,0.621,107.015,4,
49,3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,4,
50,24fRfn3FOM4xk02aE4wief,Vuka (feat. Thukuthela),"Oscar Mbo, Jazzworx, Thukuthela",0.738,0.455,4,-10.965,0,0.0466,0.175,0.198,0.105,0.524,118.006,4,
51,2LeOHKRLm1Bz7eeNVinUYs,Esandleni,Nontokozo Mkhize,0.477,0.683,4,-5.893,1,0.0395,0.0597,0.00045,0.335,0.495,99.768,4,
52,7MD8gswt08VhFwVF1PR8Mg,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)","Mr Pilato, Ego Slimflow, Tebogo G Mashego, SJE Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii",0.848,0.588,9,-10.935,1,0.0532,0.00115,0.00485,0.0523,0.301,113.002,4,
53,0DGP0pRR8yz4OW2xxjIskt,Vuma Dlozi Lami (feat. Ancestral Rituals),"Issa sisdoh, Ancestral Rituals",0.675,0.619,2,-8.775,1,0.0328,0.00155,0.0759,0.0456,0.759,117.988,4,
54,7hO6BIPeHb0Y5v9bgXoxKg,Sohlala Sisonke,"Dlala Thukzin, Zeh McGeba, MK Productions",0.715,0.765,7,-7.837,0,0.0363,0.124,0.0824,0.0391,0.733,118.026,4,
55,021iZJ1jjc6cZZ4sMXvcW9,Romeo & Juliet,"Naledi Aphiwe, Mawelele",0.744,0.562,2,-9.515,1,0.0475,0.241,0.0179,0.0593,0.691,125.989,3,
56,4zZxynw8cwhCRlDl9pay2f,Diqabang,"Khathapillar, Sol Phenduka, Smash SA, Kamoh Xaba",0.711,0.52,2,-11.103,0,0.0331,0.102,0.00152,0.13,0.363,111.993,4,
57,1blpjqXA4y03pWHnDbhs9l,Bo Gogo (feat. Tracy & Thatohatsi),"Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi",0.811,0.71,8,-11.21,0,0.0495,0.0147,0.0276,0.0928,0.534,113.003,4,
58,6eyJuobFFGXLAOOkxrIdSV,All My Life,"Mawelele, Kwesta",0.69,0.401,8,-9.186,1,0.0493,0.749,0.000522,0.111,0.463,95.009,4,
59,0AQfRLzd7pQZcLtfh9Onb8,Shayi'Moto (feat. Seemah & Yanda Woods),"Mellow & Sleazy, Scotts Maphuma, Mr Pilato, Seemah, Yanda Woods",0.853,0.773,1,-10.387,0,0.0565,0.0275,0.0175,0.0908,0.513,112.002,4,
60,5tIt860TkOItU0BRafiyzd,Sigade Umzila,Mthandeni SK,0.705,0.882,1,-7.342,0,0.0368,0.339,0.161,0.208,0.883,89.968,4,
61,21fhgH4tjYcAKzkzCuYyr6,Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap),"Blaq Major, BLESS THE GENTLEMAN, DJ KAP",0.937,0.638,6,-6.094,0,0.0424,0.00877,0.0,0.0608,0.753,114.043,4,
62,567NwM1L86vGvZwiZfCsMo,Gucci,"Mthandeni SK, MaWhoo",0.625,0.927,6,-5.446,0,0.0313,0.0212,0.011,0.304,0.863,146.727,4,
63,0prPe1VYMLkXi2RMlOGaU6,PIKIPIKI (feat. Cowboii),"Scotts Maphuma, Shaunmusiq, CowBoii",0.9,0.772,1,-5.193,1,0.0452,0.00744,0.014,0.627,0.342,112.003,4,
64,4t4rGgiVX7woTmlnW9SHJ7,Residuals,Chris Brown,0.58,0.645,6,-7.793,0,0.0821,0.342,0.0,0.108,0.171,114.905,4,
65,2NUL19ktYaXmes18Cz7HPn,Skuta Baba - Remix,"WOODBLOCK DJS, Buzzi Lee, Kane Keid, Cassper Nyovest, Kwesta, Tony Dayimane, Mvelost, Set Off, Somololo",0.796,0.826,9,-7.976,0,0.0963,0.171,0.0,0.0739,0.727,98.001,4,
66,34eKUydsaj9GeMTT1ybutO,Wishi Wishi (feat. Scotts Maphuma & Young Stunna),"Kabza De Small, Vigro Deep, DJ Maphorisa, Scotts Maphuma, Young Stunna",0.861,0.622,1,-12.417,1,0.0727,0.0632,7.79e-05,0.253,0.413,112.009,4,
67,1AXW0WnNUceegJHGl3HWlJ,Rush Hour,Sminofu,0.721,0.937,10,-4.87,0,0.112,0.142,0.000371,0.0561,0.804,159.973,4,
68,6VBfzBgHu8tFeeg2ZQO4gH,Wayengenalutho,MENZI MUSIC,0.591,0.962,9,-4.144,1,0.0397,0.201,2.27e-06,0.0849,0.93,68.517,4,
69,0dI8174H04ATp4iEw0WkrT,"Sthandwa Sam (feat. BelloM, Epic DJ, DJ Seneath & X-Morizo)","2Point1, BelloM, EPIC DJ, DJ Seneath, X-Morizo",0.773,0.754,1,-7.588,0,0.0369,0.00723,0.0405,0.0191,0.528,112.997,4,
70,2xXwT5A5sbPXJLtXasPSIY,Waze Wamuhle (feat. Mashudu),"Kelvin Momo, Sino Msolo, Stixx, Mashudu",0.814,0.812,1,-9.547,0,0.0519,0.00887,0.26,0.041,0.624,113.009,4,
71,79r4mAwHBAB1x5QnImlUM6,Ncono Siyeke,"Mshinwemali, Shenge wasehlalankosi",0.455,0.799,2,-8.831,1,0.0359,0.384,0.0,0.575,0.868,99.729,3,
72,3jTedBPHIIr48xoJchYHNH,Chokeslem,"Kharishma, Ba Bethe Gashoazen",0.817,0.841,5,-4.173,0,0.0382,0.118,0.000216,0.0772,0.336,125.989,4,
73,3JyEmaZmPsuIvFivnwN22k,All for You,Glenn Jones,0.695,0.36,8,-12.65,1,0.054,0.174,0.0,0.0694,0.839,94.885,4,
74,3RCMGDpJlWeEgCLhOz63oa,Ngiyakuthanda,MENZI MUSIC,0.556,0.924,7,-5.459,0,0.0365,0.424,1.44e-05,0.335,0.833,136.027,4,
75,53wwaMp15eGyE12Cm7sxLa,Ungukuphila,Xolly Mncwango,0.278,0.49,3,-11.191,1,0.0523,0.454,0.0,0.351,0.332,168.763,3,
76,5pRsWnuWkwfnCsaSlxYrsj,Moyongcwele,Nontokozo Mkhize,0.24,0.159,3,-14.106,1,0.0288,0.789,0.0,0.0614,0.117,97.004,4,
77,6slJQ4C1xXTVspSBxQ5Nrt,A-Z (Yashi Moto),"Vigro Deep, DJ Maphorisa, Kabza De Small, Uncool MC, Focalistic, Scotts Maphuma, Ricky Lenyora, Woza Sjax",0.812,0.752,1,-7.129,1,0.0393,0.144,0.000123,0.382,0.0773,112.008,4,
78,1lOtpeO2I2cjvN2CvbnpGW,Dear Ex Yami,"Mduduzi Ncube, Fanatic SA, Stallin Matsitsa, Caeser, Ayanda Art",0.679,0.765,6,-4.937,1,0.0658,0.351,0.00189,0.0864,0.793,150.011,4,
79,2tUXE87QNnoVQZApV3uyVZ,Ngisakuthanda,"Zee Nxumalo, TBO, PYY Logdrum King, DJ Tearz, Dr Thulz",0.767,0.814,8,-5.779,0,0.0555,0.00891,0.000751,0.0668,0.546,112.998,4,
80,3H8XWGDteOl8nmUqeYrHw5,Uvalo,"Usimamane, Sjava",0.532,0.414,5,-7.992,0,0.0935,0.652,0.00264,0.114,0.0987,159.958,3,
81,1hnB525vM5GrFr5AQIXQu8,Ndisize (feat. Ami Faku),"Caiiro, Ami Faku",0.784,0.629,5,-8.35,1,0.0491,0.00634,0.259,0.0918,0.517,117.005,4,
82,5nVQ2bPZjV9wlD2hboLe6l,Awuhlabe Kabili,LIMIT NALA,0.707,0.818,7,-7.133,1,0.0306,0.376,0.0,0.0476,0.95,105.02,3,
83,1vk1AlStNzqLNvgi6vbNsK,Ngiyohlala (feat. Thami Mthabela),"Nontokozo Mkhize, Thami Mthabela",0.464,0.306,10,-13.86,0,0.0354,0.29,0.000115,0.109,0.195,79.86,4,
84,2fOazsCfbGoDQqwxIJLUzG,Ngiyabonga,Naledi Aphiwe,0.558,0.579,7,-8.501,0,0.0434,0.151,0.00595,0.143,0.37,173.921,4,
85,1DyNpDv4M8qBTthYIAPvqW,Phuthuma,"Cyfred, Scotts Maphuma",0.885,0.677,7,-9.004,0,0.0532,0.0921,0.0035,0.0825,0.393,112.994,4,
86,1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,0.683,0.814,2,-3.505,1,0.0466,0.277,0.00826,0.0858,0.758,93.482,4,
87,4mP0H0hKkZa7Y2sgVGfyq7,Angisafuni Ngami,"NOMAKHOSINI, Mnqobi Yazo",0.739,0.54,9,-10.433,0,0.102,0.133,1.12e-05,0.13,0.546,91.971,4,
88,219UdZ1b9vuUe45FK2JeWx,Bo Thata,"Babalwa M, Stixx, Nvcho",0.766,0.64,8,-14.798,1,0.0476,0.0329,0.0726,0.0621,0.535,112.985,4,
89,7GaFYUqP2WdR4KTPk7cXoP,Let Me Love You,Mario,0.686,0.588,7,-8.343,0,0.0554,0.178,0.0,0.0954,0.617,94.519,4,
90,7JbLSEDlRdoJaXk5ddZae2,Paris,"Mthandeni SK, Lwah Ndlunkulu",0.619,0.903,1,-4.659,1,0.0693,0.0296,0.00199,0.19,0.964,154.639,4,
91,1vbe9sh7U9vdMceAhitWr2,Can You Stand The Rain,New Edition,0.614,0.37,8,-15.198,1,0.0353,0.678,0.00261,0.143,0.746,143.314,4,
92,3f3m9goDpt4T7m19vGHxcW,All I Ever Ask,Najee,0.595,0.353,10,-12.965,1,0.0373,0.497,4.15e-06,0.125,0.231,126.365,3,
93,4EI8VuxUuIHKfafU72emqz,We Belong Together,Mariah Carey,0.84,0.476,0,-7.918,1,0.0629,0.0264,0.0,0.0865,0.767,139.987,4,
94,5VI0jL3U1EVMKgh3e9KXZ6,Ungangilimazi (feat. Frank Mabeat),"Dj Moscow, Brandon Dhludhlu, Cnethemba Gonelo, Frank Mabeat",0.83,0.549,8,-14.217,1,0.0575,0.0143,0.0014,0.0262,0.505,113.017,4,
95,3c6afiysmB7OnxQzzSqRfD,So Into You,Tamia,0.656,0.479,7,-7.055,0,0.0348,0.0665,0.00272,0.168,0.708,184.374,4,
96,2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4,
97,3CmacJj7VC4W6daC8BWd0h,Mất Kết Nối,Dương Domic,0.492,0.399,1,-9.028,1,0.0443,0.82,0.0,0.133,0.236,131.811,4,
98,3uT8QfoX0BE8ZJa4h98LDW,Wrong Times,"Puppy, Dangrangto",0.809,0.42,8,-14.145,1,0.319,0.654,2.91e-06,0.116,0.521,148.048,4,
99,4nXrVH5xwN1w6TpmP7uu8n,Exit Sign,"HIEUTHUHAI, marzuz",0.483,0.599,2,-7.564,1,0.39,0.848,2.01e-05,0.153,0.175,75.375,4,
100,0669gFIK8dYK9GGQ0K0QNF,Tràn Bộ Nhớ,Dương Domic,0.71,0.768,7,-8.18,1,0.0515,0.56,0.000898,0.103,0.472,127.925,4,
101,01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,4,
102,7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",0.36,0.316,3,-9.954,1,0.0284,0.858,0.000212,0.23,0.229,76.844,3,
103,3COYA2vgfcUhDyRlVpZy5p,PHÓNG ZÌN ZÌN,"tlinh, Low G",0.717,0.693,5,-6.808,0,0.0646,0.185,0.00171,0.164,0.445,101.996,4,
104,4eeflgjzTF8xN8U2E0dech,NGỰA Ô,"Dangrangto, TeuYungBoy, DONAL",0.837,0.494,1,-9.535,1,0.12,0.0062,5.27e-06,0.0885,0.33,160.946,4,
105,41DlPJXKTCypXdf2eSqa03,bình yên,"Vũ., Binz",0.677,0.526,1,-8.375,1,0.0435,0.787,1.92e-05,0.0855,0.217,121.969,4,
106,7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,"Đen, JustaTee",0.742,0.662,5,-4.651,1,0.0647,0.578,0.0,0.126,0.486,84.006,4,
107,1K0HQ30Wc11okzlcnFA7Ub,Không Thể Say,HIEUTHUHAI,0.675,0.635,7,-5.266,1,0.0416,0.246,0.0,0.211,0.642,144.984,4,
108,31VNCmwspR7nVJ6kruUuJt,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,0.854,0.636,11,-7.972,1,0.0406,0.527,0.0,0.135,0.858,125.512,4,
109,40pWxpbXoBYGPCiofujjZ6,Chăm Hoa,MONO,0.715,0.617,4,-8.088,0,0.0298,0.0584,3.12e-06,0.204,0.46,107.989,4,
110,1lcBt7LoEikqYmhUoa2cez,number one girl,ROSÉ,0.288,0.377,7,-7.775,1,0.0317,0.288,0.0,0.101,0.135,175.43,3,
111,3ZbZtdEw9U0uZW4tZItIwq,Chịu Cách Mình Nói Thua,"RHYDER, CoolKid, BAN",0.604,0.737,10,-6.575,0,0.0372,0.16,0.0,0.115,0.36,154.173,4,
112,4fj4Jn4nw8fGX8xdbCntJf,Sau Cơn Mưa,"CoolKid, RHYDER",0.69,0.3,6,-9.204,1,0.039,0.769,1.69e-06,0.123,0.646,81.983,4,
113,2Pwou3Q2Cf59RxdX2V6MgV,Có Đôi Điều,Shiki,0.42,0.59,0,-8.071,1,0.17,0.695,0.00374,0.168,0.406,89.959,4,
114,7fCeYpR02Q8JVuD88hJZVT,Bầu Trời Mới,"Da LAB, Minh Tốc & Lam",0.464,0.709,5,-5.431,1,0.0545,0.511,0.0,0.111,0.275,180.047,4,
115,7mblTCdc14ylJ1JW71MODb,Giờ Thì,buitruonglinh,0.44,0.504,6,-7.958,1,0.0499,0.487,0.000903,0.161,0.502,143.791,4,
116,0s7RyyUlQfd8mnnboHe18n,Hẹn Gặp Em Dưới Ánh Trăng,"MANBO, HIEUTHUHAI, HURRYKNG",0.787,0.658,8,-7.595,1,0.0325,0.65,2.31e-05,0.118,0.475,120.005,4,
117,7ESH2ntyD5Bb1XckoJU554,Một Năm Mới Bình An,Sơn Tùng M-TP,0.663,0.824,0,-7.773,1,0.0357,0.465,0.0,0.115,0.429,113.954,4,
118,1z5ebC9238uGoBgzYyvGpQ,toxic till the end,ROSÉ,0.413,0.604,7,-5.628,1,0.0999,0.0498,0.0,0.114,0.296,167.232,4,
119,7gSQxwCpEMjg8wb6Y3oqe7,"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)","ANH TRAI ""SAY HI"", RHYDER, Dương Domic, Pháp Kiều",0.577,0.587,1,-5.814,1,0.0369,0.69,0.0,0.268,0.5,131.52,4,
120,226ljdOTLM2clGpm4mZvAm,Love is,Dangrangto,0.69,0.291,4,-16.499,1,0.0515,0.207,1.06e-06,0.205,0.584,139.126,4,
121,3Ids3RXurYBgySph53qWnB,Từng Ngày Yêu Em,buitruonglinh,0.604,0.531,2,-7.252,1,0.071,0.701,6.08e-05,0.145,0.425,152.995,4,
122,2GE2p2dFpxp7OIz2QOFBzW,"KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)","ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac",0.657,0.67,1,-5.77,1,0.187,0.313,0.0,0.128,0.142,84.97,4,
123,2oVLEoBVDvYrGmzrU7dEm5,TRÀN BỘ NHỚ (feat. Dương Domic),"ANH TRAI ""SAY HI"", Dương Domic",0.587,0.635,6,-6.275,1,0.0446,0.289,0.0,0.113,0.237,127.871,4,
124,5ECHJ1llWBNYLVCYrllD3x,Chạy Khỏi Thế Giới Này,"Da LAB, Phương Ly",0.71,0.552,5,-10.257,1,0.0694,0.761,1.22e-05,0.0921,0.617,139.904,4,
125,446ygEWkggc5FMbBPQSMuM,"SAO HẠNG A (feat. HIEUTHUHAI, Dương Domic, Song Luân, Jsol & Trần Đăng Dương)","ANH TRAI ""SAY HI"", HIEUTHUHAI, Dương Domic, Song Luân, JSOL, Trần Đăng Dương",0.812,0.92,2,-4.552,1,0.0716,0.289,0.0,0.178,0.817,124.013,4,
126,4gaxEUZE4z9pJAVTSFwgQI,một đời,"14 Casper, Bon Nghiêm, buitruonglinh",0.442,0.349,0,-10.676,1,0.0307,0.847,1.36e-06,0.136,0.365,135.978,4,
127,4CUvVaAYuXtvYURLFz7EIL,Chuyện Đôi Ta (feat. Muộii),"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815,3,
128,6D94p9ASguBcYlDC0o56vx,NOLOVENOLIFE,HIEUTHUHAI,0.812,0.703,4,-4.499,1,0.148,0.358,0.0,0.105,0.554,138.019,4,
129,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4,
130,4jWmhzf53Q0ZvZMuGdiR9x,shhhhhhh..,"WEAN, tlinh",0.739,0.537,2,-7.241,0,0.0394,0.251,0.0,0.0998,0.379,137.97,4,
131,4exlWP8cokkWVCvyP3kg7c,nếu lúc đó,"tlinh, 2pillz",0.627,0.591,4,-7.908,1,0.0316,0.344,0.000134,0.159,0.358,140.018,4,
132,2uZmeuNAxSm7XfVIwLkhCx,nhắn nhủ,Ronboogz,0.762,0.295,7,-9.745,1,0.035,0.954,0.00157,0.164,0.284,129.962,4,
133,6VXVYATpQXEIoZ97NnWCmn,Vì Anh Đâu Có Biết,"Madihu, Vũ.",0.775,0.358,9,-6.473,0,0.0527,0.861,0.0,0.415,0.524,139.982,4,
134,72NMPuJCRsOUoXQJdzVfdo,Track 06,"Tyronee, VSTRA, Obito",0.778,0.58,2,-7.26,0,0.0425,0.452,0.000677,0.105,0.48,92.986,4,
135,4qYfRfSxsmhJ1WMaywtLyI,Từng Quen,"Wren Evans, itsnk",0.768,0.325,7,-11.863,1,0.15,0.133,7.69e-06,0.174,0.525,76.975,4,
136,5XfGQZA0ioQAWUjlyJRcHc,1000 Ánh Mắt,"Shiki, Obito",0.641,0.326,8,-8.716,1,0.0325,0.789,0.0,0.104,0.474,143.997,4,
137,7tFwBnuaGXqiiONukPRaCo,Miên Man,Minh Huy,0.772,0.519,9,-10.351,1,0.0409,0.639,0.00203,0.101,0.628,120.038,4,
138,4z0vfU3JiAsl99ZHL29hMm,Close to You,Jin,0.355,0.404,5,-5.795,1,0.0354,0.779,2.19e-05,0.101,0.207,126.573,4,
139,62bwj2FZsr0ljcap1FEf8g,"Đi Giữa Trời Rực Rỡ - From ""Đi Giữa Trời Rực Rỡ""",Ngô Lan Hương,0.715,0.532,11,-8.739,1,0.0288,0.413,0.0,0.362,0.604,113.008,4,
140,1o6cYDMHvKOfizi4d9Lqxr,id 072019,W/N,0.593,0.325,6,-11.214,1,0.0296,0.957,0.219,0.286,0.442,110.068,4,
